iter	Passed	Remaining
643	3917	2165
644	3923	2159
645	3930	2153
646	3936	2147
647	3942	2141
648	3948	2135
649	3953	2129
650	3960	2123
651	3966	2116
652	3971	2110
653	3979	2105
654	3985	2098
655	3991	2093
656	3998	2087
657	4004	2081
658	4011	2075
659	4016	2069
660	4021	2062
661	4028	2056
662	4033	2050
663	4037	2043
664	4044	2037
665	4048	2030
666	4053	2023
667	4059	2017
668	4063	2010
669	4068	2003
670	4073	1997
671	4078	1990
672	4083	1983
673	4088	1977
674	4094	1971
675	4099	1964
676	4104	1958
677	4110	1952
678	4115	1945
679	4119	1938
680	4126	1932
681	4130	1926
682	4135	1919
683	4141	1913
684	4146	1906
685	4150	1899
686	4156	1893
687	4161	1887
688	4165	1880
689	4170	1873
690	4175	1867
691	4180	1860
692	4184	1853
693	4190	1847
694	4195	1841
695	4199	1834
696	4206	1828
697	4210	1821
698	4215	1815
699	4221	1809
700	4226	1802
701	4231	1796
702	4236	1789
703	4242	1783
704	4246	1776
705	4251	1770
706	4256	1764
707	4261	1757
708	4266	1751
709	4272	1745
710	4277	1738
711	4282	1732
712	4289	1726
713	4295	1720
714	4301	1714
715	4307	1708
716	4312	1702
717	4317	1695
718	4323	1689
719	4329	1683
720	4335	1677
721	4341	1671
722	4345	1665
723	4352	1659
724	4357	1652
725	4362	1646
726	4367	1640
727	4372	1633
728	4377	1627
729	4383	1621
730	4388	1615
731	4393	1608
732	4399	1602
733	4404	1596
734	4408	1589
735	4414	1583
736	4420	1577
737	4424	1570
738	4429	1564
739	4435	1558
740	4439	1551
741	4444	1545
742	4450	1539
743	4454	1532
744	4459	1526
745	4464	1519
746	4469	1513
747	4474	1507
748	4478	1500
749	4484	1494
750	4489	1488
751	4493	1481
752	4500	1476
753	4505	1469
754	4509	1463
755	4515	1457
756	4520	1451
757	4524	1444
758	4529	1438
759	4535	1432
760	4540	1425
761	4545	1419
762	4550	1413
763	4554	1407
764	4559	1400
765	4565	1394
766	4570	1388
767	4574	1381
768	4580	1375
769	4585	1369
770	4590	1363
771	4595	1357
772	4600	1351
773	4605	1344
774	4610	1338
775	4615	1332
776	4620	1326
777	4625	1319
778	4631	1313
779	4636	1307
780	4641	1301
781	4647	1295
782	4652	1289
783	4657	1283
784	4665	1277
785	4669	1271
786	4675	1265
787	4681	1259
788	4687	1253
789	4693	1247
790	4698	1241
791	4703	1235
792	4708	1229
793	4714	1223
794	4719	1216
795	4725	1210
796	4730	1204
797	4735	1198
798	4740	1192
799	4746	1186
800	4751	1180
801	4756	1174
802	4762	1168
803	4766	1162
804	4771	1155
805	4779	1150
806	4784	1144
807	4789	1138
808	4795	1132
809	4799	1125
810	4804	1119
811	4810	1113
812	4814	1107
813	4819	1101
814	4825	1095
815	4830	1089
816	4835	1083
817	4841	1077
818	4846	1071
819	4851	1064
820	4856	1058
821	4861	1052
822	4866	1046
823	4871	1040
824	4876	1034
825	4881	1028
826	4886	1022
827	4892	1016
828	4897	1010
829	4902	1004
830	4908	998
831	4913	992
832	4917	985
833	4924	980
834	4929	974
835	4934	968
836	4941	962
837	4948	956
838	4953	950
839	4959	944
840	4963	938
841	4969	932
842	4974	926
843	4979	920
844	4984	914
845	4990	908
846	4994	902
847	4999	896
848	5005	890
849	5010	884
850	5014	877
851	5019	872
852	5024	865
853	5029	859
854	5034	853
